"Time (s) Run #12","Voltage (V) Run #12","Current (A) Run #12","Time (s) Run #13","Voltage (V) Run #13","Current (A) Run #13","Time (s) Run #15","Voltage (V) Run #15","Current (A) Run #15","Time (s) Run #16","Voltage (V) Run #16","Current (A) Run #16","Time (s) Run #18","Voltage (V) Run #18","Current (A) Run #18","Time (s) Run #19","Voltage (V) Run #19","Current (A) Run #19","Time (s) Run #21","Voltage (V) Run #21","Current (A) Run #21","Time (s) Run #22","Voltage (V) Run #22","Current (A) Run #22","Time (s) Run #24","Voltage (V) Run #24","Current (A) Run #24","Time (s) Run #25","Voltage (V) Run #25","Current (A) Run #25"
5.800,-0.6059,1.7214E-13,5.800,-0.6056,1.7477E-13,5.800,-0.7187,1.6213E-13,5.800,-0.7181,2.1990E-13,5.800,-1.2353,-4.8165E-13,5.800,-1.2357,-4.7820E-13,5.800,-1.4762,-1.2877E-13,5.800,-1.4766,-1.1719E-13,5.800,-1.9546,-1.8815E-13,5.800,-1.9555,-4.7997E-13
5.900,-0.6060,1.7286E-13,5.900,-0.6056,1.7101E-13,5.900,-0.7186,1.5416E-13,5.900,-0.7183,2.2552E-13,5.900,-1.2354,-4.8439E-13,5.900,-1.2355,-4.8359E-13,5.900,-1.4762,-1.3673E-13,5.900,-1.4765,-1.1523E-13,5.900,-1.9544,-1.8876E-13,5.900,-1.9552,-4.8489E-13
6.000,-0.6058,1.7671E-13,6.000,-0.6056,1.6686E-13,6.000,-0.7184,1.5474E-13,6.000,-0.7186,2.2452E-13,6.000,-1.2350,-4.7479E-13,6.000,-1.2354,-5.1184E-13,6.000,-1.4761,-1.3740E-13,6.000,-1.4764,-1.0687E-13,6.000,-1.9544,-1.9562E-13,6.000,-1.9557,-4.7347E-13
6.100,-0.6063,1.6866E-13,6.100,-0.6057,1.7196E-13,6.100,-0.7184,1.5281E-13,6.100,-0.7178,2.2274E-13,6.100,-1.2354,-4.7853E-13,6.100,-1.2352,-5.3348E-13,6.100,-1.4765,-1.4073E-13,6.100,-1.4765,-1.0925E-13,6.100,-1.9540,-1.9807E-13,6.100,-1.9555,-4.4656E-13
6.200,-0.6059,1.6343E-13,6.200,-0.6058,1.7109E-13,6.200,-0.7185,1.4813E-13,6.200,-0.7184,2.1702E-13,6.200,-1.2351,-4.7759E-13,6.200,-1.2356,-5.3917E-13,6.200,-1.4765,-1.4315E-13,6.200,-1.4762,-1.1760E-13,6.200,-1.9541,-2.0201E-13,6.200,-1.9553,-4.2998E-13
6.300,-0.6061,1.5049E-13,6.300,-0.6060,1.7108E-13,6.300,-0.7181,1.4569E-13,6.300,-0.7183,2.1188E-13,6.300,-1.2356,-4.8533E-13,6.300,-1.2353,-5.2668E-13,6.300,-1.4761,-1.4579E-13,6.300,-1.4765,-1.2600E-13,6.300,-1.9544,-2.0233E-13,6.300,-1.9557,-4.2906E-13
6.400,-0.6065,1.4198E-13,6.400,-0.6055,1.7406E-13,6.400,-0.7182,1.4626E-13,6.400,-0.7186,1.9985E-13,6.400,-1.2357,-4.9219E-13,6.400,-1.2348,-5.1708E-13,6.400,-1.4763,-1.4403E-13,6.400,-1.4763,-1.2600E-13,6.400,-1.9543,-2.0037E-13,6.400,-1.9557,-4.2920E-13
6.500,-0.6057,1.3632E-13,6.500,-0.6056,1.7018E-13,6.500,-0.7186,1.4552E-13,6.500,-0.7184,1.9489E-13,6.500,-1.2356,-4.9878E-13,6.500,-1.2349,-5.1957E-13,6.500,-1.4771,-1.4502E-13,6.500,-1.4766,-1.2063E-13,6.500,-1.9546,-2.0540E-13,6.500,-1.9553,-4.2396E-13
6.600,-0.6061,1.2454E-13,6.600,-0.6060,1.6237E-13,6.600,-0.7185,1.4757E-13,6.600,-0.7182,1.9519E-13,6.600,-1.2357,-5.0830E-13,6.600,-1.2353,-5.3650E-13,6.600,-1.4762,-1.4453E-13,6.600,-1.4762,-1.1600E-13,6.600,-1.9545,-2.0825E-13,6.600,-1.9555,-4.1669E-13
6.700,-0.6062,1.1842E-13,6.700,-0.6056,1.6162E-13,6.700,-0.7184,1.4913E-13,6.700,-0.7177,2.0441E-13,6.700,-1.2356,-5.1473E-13,6.700,-1.2356,-5.4557E-13,6.700,-1.4760,-1.4171E-13,6.700,-1.4759,-1.1006E-13,6.700,-1.9546,-2.1060E-13,6.700,-1.9559,-4.0543E-13
6.800,-0.6056,1.2170E-13,6.800,-0.6058,1.6239E-13,6.800,-0.7184,1.5431E-13,6.800,-0.7186,1.9852E-13,6.800,-1.2356,-5.1859E-13,6.800,-1.2353,-5.4591E-13,6.800,-1.4764,-1.3899E-13,6.800,-1.4759,-1.1537E-13,6.800,-1.9541,-2.1534E-13,6.800,-1.9556,-3.9641E-13
6.900,-0.6059,1.2158E-13,6.900,-0.6051,1.7091E-13,6.900,-0.7183,1.6697E-13,6.900,-0.7180,1.9990E-13,6.900,-1.2354,-5.2062E-13,6.900,-1.2353,-5.3015E-13,6.900,-1.4759,-1.2985E-13,6.900,-1.4760,-1.2102E-13,6.900,-1.9545,-2.2809E-13,6.900,-1.9556,-3.8464E-13
7.000,-0.6057,1.1760E-13,7.000,-0.6056,1.8307E-13,7.000,-0.7183,1.7561E-13,7.000,-0.7181,1.9192E-13,7.000,-1.2357,-5.2408E-13,7.000,-1.2355,-5.0446E-13,7.000,-1.4760,-1.2311E-13,7.000,-1.4762,-1.2178E-13,7.000,-1.9544,-2.3899E-13,7.000,-1.9561,-3.7435E-13
7.100,-0.6059,1.1188E-13,7.100,-0.6060,1.9443E-13,7.100,-0.7186,1.8398E-13,7.100,-0.7179,1.8016E-13,7.100,-1.2354,-5.2291E-13,7.100,-1.2355,-4.8882E-13,7.100,-1.4760,-1.2517E-13,7.100,-1.4766,-1.2242E-13,7.100,-1.9544,-2.5570E-13,7.100,-1.9559,-3.6974E-13
7.200,-0.6058,1.1060E-13,7.200,-0.6055,1.9546E-13,7.200,-0.7187,1.8866E-13,7.200,-0.7183,1.6632E-13,7.200,-1.2354,-5.2704E-13,7.200,-1.2359,-5.0115E-13,7.200,-1.4767,-1.3182E-13,7.200,-1.4764,-1.1508E-13,7.200,-1.9547,-2.5842E-13,7.200,-1.9559,-3.7322E-13
7.300,-0.6059,1.1530E-13,7.300,-0.6058,1.9393E-13,7.300,-0.7183,1.8687E-13,7.300,-0.7183,1.6969E-13,7.300,-1.2357,-5.3778E-13,7.300,-1.2360,-5.2760E-13,7.300,-1.4762,-1.2915E-13,7.300,-1.4763,-1.1351E-13,7.300,-1.9543,-2.5459E-13,7.300,-1.9557,-3.7039E-13
7.400,-0.6060,1.2195E-13,7.400,-0.6058,1.9371E-13,7.400,-0.7184,1.8429E-13,7.400,-0.7184,1.6598E-13,7.400,-1.2357,-5.3315E-13,7.400,-1.2355,-5.4828E-13,7.400,-1.4763,-1.2997E-13,7.400,-1.4760,-1.0674E-13,7.400,-1.9548,-2.5651E-13,7.400,-1.9559,-3.6963E-13
7.500,-0.6065,1.2399E-13,7.500,-0.6058,1.8640E-13,7.500,-0.7183,1.7909E-13,7.500,-0.7183,1.4944E-13,7.500,-1.2360,-5.2977E-13,7.500,-1.2356,-5.5782E-13,7.500,-1.4765,-1.2169E-13,7.500,-1.4765,-1.1395E-13,7.500,-1.9545,-2.5569E-13,7.500,-1.9556,-3.6412E-13
7.600,-0.6063,1.3240E-13,7.600,-0.6061,1.8613E-13,7.600,-0.7184,1.7509E-13,7.600,-0.7183,1.4045E-13,7.600,-1.2361,-5.2800E-13,7.600,-1.2358,-5.5029E-13,7.600,-1.4766,-1.1484E-13,7.600,-1.4760,-1.1508E-13,7.600,-1.9543,-2.6013E-13,7.600,-1.9555,-3.6316E-13
7.700,-0.6064,1.3948E-13,7.700,-0.6065,1.9409E-13,7.700,-0.7184,1.7385E-13,7.700,-0.7184,1.3912E-13,7.700,-1.2360,-5.2437E-13,7.700,-1.2356,-5.4232E-13,7.700,-1.4759,-1.0833E-13,7.700,-1.4762,-1.1879E-13,7.700,-1.9548,-2.6045E-13,7.700,-1.9557,-3.7291E-13
7.800,-0.6060,1.4257E-13,7.800,-0.6060,2.0316E-13,7.800,-0.7180,1.6914E-13,7.800,-0.7183,1.5050E-13,7.800,-1.2359,-5.2163E-13,7.800,-1.2356,-5.3102E-13,7.800,-1.4759,-1.0239E-13,7.800,-1.4760,-1.2142E-13,7.800,-1.9543,-2.5148E-13,7.800,-1.9554,-3.7755E-13
7.900,-0.6063,1.4086E-13,7.900,-0.6056,2.0502E-13,7.900,-0.7182,1.7028E-13,7.900,-0.7184,1.5698E-13,7.900,-1.2355,-5.1993E-13,7.900,-1.2355,-5.0356E-13,7.900,-1.4757,-1.0389E-13,7.900,-1.4762,-1.2073E-13,7.900,-1.9543,-2.4810E-13,7.900,-1.9549,-3.8373E-13
8.000,-0.6065,1.3970E-13,8.000,-0.6056,2.0078E-13,8.000,-0.7181,1.7211E-13,8.000,-0.7188,1.6125E-13,8.000,-1.2359,-5.2350E-13,8.000,-1.2352,-4.8442E-13,8.000,-1.4760,-1.0669E-13,8.000,-1.4759,-1.2056E-13,8.000,-1.9548,-2.4824E-13,8.000,-1.9551,-3.9264E-13
8.100,-0.6064,1.3519E-13,8.100,-0.6057,1.9540E-13,8.100,-0.7179,1.7469E-13,8.100,-0.7188,1.6460E-13,8.100,-1.2357,-5.2599E-13,8.100,-1.2354,-4.7900E-13,8.100,-1.4762,-1.1274E-13,8.100,-1.4756,-1.2166E-13,8.100,-1.9545,-2.4408E-13,8.100,-1.9550,-3.9896E-13
8.200,-0.6066,1.3274E-13,8.200,-0.6059,1.8987E-13,8.200,-0.7183,1.6656E-13,8.200,-0.7185,1.7057E-13,8.200,-1.2357,-5.2252E-13,8.200,-1.2351,-5.0023E-13,8.200,-1.4767,-1.1484E-13,8.200,-1.4761,-1.2261E-13,8.200,-1.9539,-2.4342E-13,8.200,-1.9556,-4.0930E-13
8.300,-0.6064,1.3271E-13,8.300,-0.6060,1.8829E-13,8.300,-0.7185,1.6331E-13,8.300,-0.7185,1.6329E-13,8.300,-1.2360,-5.2909E-13,8.300,-1.2354,-5.3799E-13,8.300,-1.4765,-1.1836E-13,8.300,-1.4754,-1.2010E-13,8.300,-1.9545,-2.4303E-13,8.300,-1.9553,-4.1323E-13
8.400,-0.6062,1.3173E-13,8.400,-0.6056,1.9335E-13,8.400,-0.7182,1.6339E-13,8.400,-0.7186,1.6597E-13,8.400,-1.2358,-5.2805E-13,8.400,-1.2358,-5.6002E-13,8.400,-1.4759,-1.1698E-13,8.400,-1.4752,-1.1622E-13,8.400,-1.9546,-2.4373E-13,8.400,-1.9553,-4.1202E-13
8.500,-0.6061,1.2837E-13,8.500,-0.6059,1.8700E-13,8.500,-0.7179,1.6486E-13,8.500,-0.7185,1.6967E-13,8.500,-1.2357,-5.2112E-13,8.500,-1.2361,-5.6458E-13,8.500,-1.4763,-1.2373E-13,8.500,-1.4757,-1.1636E-13,8.500,-1.9547,-2.4728E-13,8.500,-1.9553,-4.1089E-13
8.600,-0.6068,1.2238E-13,8.600,-0.6062,1.8091E-13,8.600,-0.7183,1.5662E-13,8.600,-0.7185,1.7347E-13,8.600,-1.2360,-5.2025E-13,8.600,-1.2353,-5.5126E-13,8.600,-1.4760,-1.2527E-13,8.600,-1.4758,-1.0903E-13,8.600,-1.9546,-2.4404E-13,8.600,-1.9551,-4.0183E-13
8.700,-0.6060,1.2704E-13,8.700,-0.6057,1.8193E-13,8.700,-0.7185,1.6179E-13,8.700,-0.7185,1.7611E-13,8.700,-1.2357,-5.1853E-13,8.700,-1.2353,-5.3514E-13,8.700,-1.4758,-1.1541E-13,8.700,-1.4759,-1.1019E-13,8.700,-1.9545,-2.3688E-13,8.700,-1.9553,-4.0558E-13
8.800,-0.6061,1.2561E-13,8.800,-0.6059,1.7744E-13,8.800,-0.7183,1.6533E-13,8.800,-0.7182,1.7708E-13,8.800,-1.2359,-5.2433E-13,8.800,-1.2355,-5.2076E-13,8.800,-1.4759,-1.0437E-13,8.800,-1.4756,-1.0461E-13,8.800,-1.9544,-2.2990E-13,8.800,-1.9552,-3.9918E-13
8.900,-0.6065,1.3043E-13,8.900,-0.6060,1.7598E-13,8.900,-0.7185,1.6486E-13,8.900,-0.7179,1.8220E-13,8.900,-1.2358,-5.2756E-13,8.900,-1.2353,-4.9542E-13,8.900,-1.4760,-1.0486E-13,8.900,-1.4761,-1.0555E-13,8.900,-1.9546,-2.1998E-13,8.900,-1.9553,-3.9556E-13
9.000,-0.6063,1.3511E-13,9.000,-0.6060,1.7682E-13,9.000,-0.7183,1.6605E-13,9.000,-0.7178,1.8328E-13,9.000,-1.2354,-5.2783E-13,9.000,-1.2353,-4.7496E-13,9.000,-1.4759,-1.0864E-13,9.000,-1.4761,-1.0416E-13,9.000,-1.9546,-2.2098E-13,9.000,-1.9554,-3.8708E-13
9.100,-0.6063,1.3521E-13,9.100,-0.6062,1.7649E-13,9.100,-0.7187,1.6095E-13,9.100,-0.7180,1.7469E-13,9.100,-1.2357,-5.1855E-13,9.100,-1.2354,-4.6920E-13,9.100,-1.4761,-1.1733E-13,9.100,-1.4762,-1.0426E-13,9.100,-1.9545,-2.2814E-13,9.100,-1.9552,-3.8900E-13
9.200,-0.6063,1.2986E-13,9.200,-0.6063,1.7444E-13,9.200,-0.7185,1.5924E-13,9.200,-0.7183,1.6713E-13,9.200,-1.2356,-5.1959E-13,9.200,-1.2352,-4.9563E-13,9.200,-1.4763,-1.1899E-13,9.200,-1.4763,-1.1296E-13,9.200,-1.9545,-2.3425E-13,9.200,-1.9554,-3.9401E-13
9.300,-0.6062,1.2258E-13,9.300,-0.6067,1.5582E-13,9.300,-0.7182,1.5402E-13,9.300,-0.7184,1.6326E-13,9.300,-1.2356,-5.1888E-13,9.300,-1.2349,-5.1837E-13,9.300,-1.4762,-1.1726E-13,9.300,-1.4759,-1.1357E-13,9.300,-1.9542,-2.3881E-13,9.300,-1.9555,-4.0178E-13
9.400,-0.6062,1.1957E-13,9.400,-0.6066,1.3588E-13,9.400,-0.7188,1.4648E-13,9.400,-0.7181,1.6769E-13,9.400,-1.2361,-5.1770E-13,9.400,-1.2352,-5.2568E-13,9.400,-1.4766,-1.1624E-13,9.400,-1.4757,-1.1742E-13,9.400,-1.9542,-2.3759E-13,9.400,-1.9557,-4.0558E-13
9.500,-0.6066,1.2281E-13,9.500,-0.6062,1.3237E-13,9.500,-0.7187,1.4802E-13,9.500,-0.7180,1.7081E-13,9.500,-1.2357,-5.1027E-13,9.500,-1.2353,-5.1813E-13,9.500,-1.4766,-1.2533E-13,9.500,-1.4761,-1.2161E-13,9.500,-1.9545,-2.3428E-13,9.500,-1.9555,-4.0398E-13
9.600,-0.6060,1.3335E-13,9.600,-0.6063,1.3856E-13,9.600,-0.7190,1.5332E-13,9.600,-0.7179,1.7172E-13,9.600,-1.2357,-5.1189E-13,9.600,-1.2352,-4.9835E-13,9.600,-1.4767,-1.2083E-13,9.600,-1.4756,-1.1500E-13,9.600,-1.9545,-2.2472E-13,9.600,-1.9555,-4.0610E-13
9.700,-0.6056,1.4053E-13,9.700,-0.6063,1.4841E-13,9.700,-0.7186,1.6097E-13,9.700,-0.7184,1.6656E-13,9.700,-1.2363,-5.2094E-13,9.700,-1.2353,-4.8518E-13,9.700,-1.4767,-1.2262E-13,9.700,-1.4759,-1.1499E-13,9.700,-1.9541,-2.2184E-13,9.700,-1.9558,-4.1616E-13
9.800,-0.6060,1.4843E-13,9.800,-0.6060,1.5635E-13,9.800,-0.7187,1.7072E-13,9.800,-0.7183,1.6543E-13,9.800,-1.2362,-5.2051E-13,9.800,-1.2355,-4.7628E-13,9.800,-1.4765,-1.1891E-13,9.800,-1.4759,-1.1716E-13,9.800,-1.9542,-2.2026E-13,9.800,-1.9557,-4.2189E-13
9.900,-0.6061,1.4967E-13,9.900,-0.6060,1.5798E-13,9.900,-0.7191,1.6985E-13,9.900,-0.7183,1.6104E-13,9.900,-1.2359,-5.2097E-13,9.900,-1.2355,-4.7166E-13,9.900,-1.4763,-1.1567E-13,9.900,-1.4760,-1.1652E-13,9.900,-1.9541,-2.2083E-13,9.900,-1.9554,-4.2772E-13
10.000,-0.6058,1.3861E-13,10.000,-0.6066,1.5549E-13,10.000,-0.7181,1.6697E-13,10.000,-0.7180,1.6372E-13,10.000,-1.2356,-5.1852E-13,10.000,-1.2353,-4.6835E-13,10.000,-1.4760,-1.1340E-13,10.000,-1.4758,-1.1587E-13,10.000,-1.9546,-2.2388E-13,10.000,-1.9551,-4.1967E-13
10.100,-0.6061,1.3538E-13,10.100,-0.6061,1.5786E-13,10.100,-0.7182,1.5717E-13,10.100,-0.7180,1.7018E-13,10.100,-1.2354,-5.0275E-13,10.100,-1.2352,-4.7531E-13,10.100,-1.4762,-1.1909E-13,10.100,-1.4758,-1.1451E-13,10.100,-1.9545,-2.2522E-13,10.100,-1.9551,-4.1370E-13
10.200,-0.6065,1.2532E-13,10.200,-0.6058,1.6670E-13,10.200,-0.7185,1.5942E-13,10.200,-0.7183,1.7319E-13,10.200,-1.2359,-4.9366E-13,10.200,-1.2346,-4.8308E-13,10.200,-1.4766,-1.1952E-13,10.200,-1.4759,-1.1868E-13,10.200,-1.9545,-2.2231E-13,10.200,-1.9553,-4.0823E-13
10.300,-0.6058,1.3574E-13,10.300,-0.6059,1.6749E-13,10.300,-0.7183,1.6423E-13,10.300,-0.7184,1.7736E-13,10.300,-1.2356,-4.8246E-13,10.300,-1.2354,-4.8702E-13,10.300,-1.4765,-1.1356E-13,10.300,-1.4760,-1.2393E-13,10.300,-1.9547,-2.2474E-13,10.300,-1.9551,-4.0302E-13
10.400,-0.6063,1.3317E-13,10.400,-0.6059,1.6671E-13,10.400,-0.7182,1.6530E-13,10.400,-0.7182,1.7932E-13,10.400,-1.2355,-4.7910E-13,10.400,-1.2349,-4.8478E-13,10.400,-1.4767,-1.0967E-13,10.400,-1.4762,-1.2405E-13,10.400,-1.9545,-2.2395E-13,10.400,-1.9555,-4.0442E-13
10.500,-0.6058,1.2498E-13,10.500,-0.6061,1.6779E-13,10.500,-0.7182,1.6851E-13,10.500,-0.7180,1.7385E-13,10.500,-1.2355,-4.7892E-13,10.500,-1.2353,-4.8864E-13,10.500,-1.4765,-1.0947E-13,,,,10.500,-1.9540,-2.1941E-13,10.500,-1.9554,-3.9830E-13
10.600,-0.6056,1.1418E-13,10.600,-0.6064,1.6178E-13,,,,,,,10.600,-1.2359,-4.8052E-13,10.600,-1.2347,-4.8472E-13,,,,,,,,,,,,
10.700,-0.6056,1.1305E-13,10.700,-0.6060,1.7230E-13,,,,,,,10.700,-1.2357,-4.8081E-13,10.700,-1.2353,-4.8894E-13,,,,,,,,,,,,
10.800,-0.6060,1.0985E-13,10.800,-0.6061,1.7960E-13,,,,,,,,,,10.800,-1.2352,-4.8652E-13,,,,,,,,,,,,
10.900,-0.6057,1.1423E-13,10.900,-0.6057,1.8262E-13,,,,,,,,,,10.900,-1.2354,-4.9141E-13,,,,,,,,,,,,
11.000,-0.6058,1.2362E-13,11.000,-0.6063,1.8123E-13,,,,,,,,,,11.000,-1.2354,-4.9977E-13,,,,,,,,,,,,
11.100,-0.6057,1.2867E-13,11.100,-0.6061,1.7827E-13,,,,,,,,,,11.100,-1.2349,-5.0081E-13,,,,,,,,,,,,
,,,11.200,-0.6059,1.7491E-13,,,,,,,,,,11.200,-1.2346,-5.0197E-13,,,,,,,,,,,,
,,,11.300,-0.6062,1.7446E-13,,,,,,,,,,11.300,-1.2350,-5.0502E-13,,,,,,,,,,,,
,,,11.400,-0.6060,1.7764E-13,,,,,,,,,,11.400,-1.2353,-5.0645E-13,,,,,,,,,,,,
,,,11.500,-0.6065,1.7288E-13,,,,,,,,,,11.500,-1.2353,-5.0522E-13,,,,,,,,,,,,
,,,11.600,-0.6065,1.6932E-13,,,,,,,,,,11.600,-1.2348,-4.9855E-13,,,,,,,,,,,,
,,,11.700,-0.6063,1.7086E-13,,,,,,,,,,11.700,-1.2351,-5.0317E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,11.800,-1.2355,-4.9948E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,11.900,-1.2353,-4.9370E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.000,-1.2354,-4.9222E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.100,-1.2353,-4.9156E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.200,-1.2355,-4.8267E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.300,-1.2356,-4.8031E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.400,-1.2353,-4.7394E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.500,-1.2354,-4.6891E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.600,-1.2355,-4.7046E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.700,-1.2358,-4.6844E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.800,-1.2354,-4.6381E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,12.900,-1.2353,-4.6715E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.000,-1.2353,-4.6855E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.100,-1.2358,-4.8245E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.200,-1.2354,-4.8773E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.300,-1.2359,-4.8318E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.400,-1.2358,-4.7379E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.500,-1.2357,-4.6770E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.600,-1.2351,-4.6796E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.700,-1.2354,-4.6946E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.800,-1.2359,-4.8086E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,13.900,-1.2355,-4.8860E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.000,-1.2351,-4.9611E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.100,-1.2358,-5.0072E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.200,-1.2357,-4.9712E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.300,-1.2356,-4.9060E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.400,-1.2357,-4.8334E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.500,-1.2358,-4.7988E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.600,-1.2357,-4.8936E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.700,-1.2355,-5.0309E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.800,-1.2356,-5.1527E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,14.900,-1.2356,-5.1764E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.000,-1.2353,-5.1930E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.100,-1.2358,-5.2814E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.200,-1.2360,-5.2764E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.300,-1.2360,-5.2330E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.400,-1.2358,-5.1354E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.500,-1.2358,-4.9913E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.600,-1.2351,-4.8850E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.700,-1.2356,-4.8728E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.800,-1.2358,-4.9052E-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,15.900,-1.2354,-4.9120E-13,,,,,,,,,,,,
